rank,a,b,c,d,e,f,g,h,i,j
1,15603,5731,2695,15641,6057,8473,9843,9193,10371,14979
2,11702,7778,7778,11730.5,4542.5,6894.5,7778,6894.5,7778,11730.5
3,10401.66667,10401.66667,6913.666667,10427,6913.666667,6128.333333,6913.666667,6128.333333,9985.666667,10427
4,9751.5,9751.5,6481.5,9775.25,6481.5,9751.5,6481.5,5745.25,9361.5,9775.25
5,9361.4,9361.4,6222.2,9384.2,9361.4,9361.4,8987,9384.2,9384.2,9384.2
6,9101.333333,9123.5,6049.333333,9123.5,9101.333333,9101.333333,8737.333333,9123.5,9123.5,9123.5
7,8915.571429,8937.285714,5925.857143,8937.285714,8915.571429,8915.571429,8559,8937.285714,8937.285714,8937.285714
8,8797.625,8797.625,8776.25,8797.625,8776.25,8797.625,8425.25,8797.625,8797.625,8797.625
9,8689,8689,8667.888889,8689,8689,8689,8689,8689,8689,8689
10,8602.1,8602.1,8602.1,8602.1,8602.1,8602.1,8602.1,8602.1,8602.1,8602.1